a,b,n,mean_diff_a_minus_b,stat,p,p_holm,p_bh
ens_trimmed,seasonal_naive,18018,-112.6838718804727,-10.358912688453485,4.483674605953543e-25,4.0801438914177244e-23,4.0382699379395355e-23
patchtst,seasonal_naive,18018,-105.9973355849538,-10.293000699695558,8.875318544922056e-25,7.987786690429851e-23,4.0382699379395355e-23
ens_median,seasonal_naive,18018,-109.26162594459839,-10.108609741844031,5.8618461188693156e-24,5.217043045793691e-22,1.7780933227236924e-22
ens_trimmed,persistence,18018,-43.53777230912931,-9.781895022736926,1.5324252192490878e-22,1.3485341929391972e-20,3.486267373791675e-21
ens_median,persistence,18018,-40.115526373255015,-9.67549149506236,4.337375464410861e-22,3.773516654037449e-20,7.894023345227767e-21
seasonal_naive,tft,18018,102.29851799586044,9.537121611039407,1.6506489153909608e-21,1.4195580672362264e-19,2.503484188342957e-20
ens_mean,seasonal_naive,18018,-92.86213618649393,-7.8793511227152555,3.4771607814030808e-15,2.9555866641926186e-13,4.520309015824005e-14
arima,stack_global,18018,43.49548615829025,7.541944841194362,4.849861455388629e-14,4.0738836225264485e-12,5.516717405504565e-13
arima,stack_phase_conformal,18018,41.242855423809814,7.339113500910264,2.2415909612227848e-13,1.8605204978149115e-11,2.2664975274585935e-12
arima,stack_phase,18018,40.747684021413974,7.273850665289669,3.6372130234494635e-13,2.98251467922856e-11,3.309863851339012e-12
persistence,tft,18018,33.15241842451706,7.1777933907137665,7.360249709252481e-13,5.961802264494509e-11,6.088933850381598e-12
patchtst,persistence,18018,-36.85123601361041,-6.492544701214725,8.66020352369318e-11,6.928162818954543e-09,6.567321005467328e-10
ens_trimmed,tft,18018,-10.385353884612249,-6.094551462052134,1.119769095208267e-09,8.84617585214531e-08,7.449274740052681e-09
arima,ens_trimmed,18018,81.1885253153188,6.090832480754517,1.1460422677004125e-09,8.939129688063217e-08,7.449274740052681e-09
mist_v2,seasonal_naive,18018,-65.81521859041199,-6.0688423097605675,1.3141281842170795e-09,1.0118787018471512e-07,7.972377650916949e-09
arima,ens_perf,18018,39.78517716221068,5.947913477343529,2.766015091506014e-09,2.1021714695445706e-07,1.5731710832940455e-08
persistence,seasonal_naive,18018,-69.14609957134338,-5.916080271284254,3.3567092419835055e-09,2.517531931487629e-07,1.7968267118852882e-08
arima,ens_median,18018,77.7662793794445,5.7847435809835,7.382646990114088e-09,5.463158772684425e-07,3.732338200557678e-08
ens_trimmed,mist_v2,18018,-46.86865329006069,-5.38331324856257,7.404203469848333e-08,5.405068532989283e-06,3.5462237671378855e-07
arima,patchtst,18018,74.5019890197999,5.317726329659136,1.0632526663381703e-07,7.655419197634826e-06,4.837799631838674e-07
arima,tft,18018,70.80317143070654,5.171880002970047,2.3423151060709077e-07,1.6630437253103443e-05,1.0150032126307266e-06
ens_median,mist_v2,18018,-43.44640735418639,-4.971010057630722,6.721656060319691e-07,4.705159242223784e-05,2.780321370404963e-06
seasonal_naive,stack_global,18018,74.99083272344416,4.5994454781328,4.264996479835717e-06,0.00029428475710866446,1.6874551289784793e-05
stack_global,stack_phase,18018,-2.7478021368762713,-4.520732937011981,6.201834346366997e-06,0.0004217247355529558,2.3515288563308195e-05
seasonal_naive,stack_phase_conformal,18018,72.73820198896368,4.499627481566881,6.849843885845121e-06,0.0004589395403516231,2.493343174447624e-05
seasonal_naive,stack_phase,18018,72.24303058656787,4.435597560887986,9.23608493770511e-06,0.0006095816058885372,3.2326297281967884e-05
ens_perf,seasonal_naive,18018,-71.28052372736455,-4.3113307513690575,1.63136762179815e-05,0.0010603889541687976,5.498313095690061e-05
arima,ens_mean,18018,61.36678962134005,4.267815931434531,1.9840459153957564e-05,0.0012697893858532841,6.448149225036208e-05
mist_v2,patchtst,18018,40.182116994541786,4.2195156448933355,2.460254149675413e-05,0.00154996011429551,7.720107848981469e-05
mist_v2,tft,18018,36.483299405448435,4.080414305195781,4.5149080560152175e-05,0.0027992429947294346,0.0001369522110324616
ens_median,tft,18018,-6.963107948737947,-3.980602220030318,6.901035025447852e-05,0.004209631365523189,0.00020257877010185628
ens_median,ens_trimmed,18018,3.422245935874304,3.7806653685831955,0.00015691441155184658,0.009414864693110795,0.00044622535785056365
ens_mean,mist_v2,18018,-27.046917596081922,-3.469238341971874,0.0005231562636671867,0.030866219556364014,0.0014426430301125452
ens_perf,ens_trimmed,18018,41.403348153108126,3.3319421215243734,0.0008641568142020809,0.05012109522372069,0.002212784624730339
